,city,10,20,30
385,Спасск,4.1,5.02,5.38
386,Никольск,4.11,5.02,5.38
387,Гороховец,4.08,5.02,5.38
388,Дмитриев-Льговский,4.1,5.01,5.38
389,Новоаннинский,4.11,5.01,5.37
390,Короча,4.1,5.01,5.37
391,Анадырь,4.32,5.01,5.37
392,Нововоронеж,4.08,5.01,5.37
393,Воронеж,4.08,5.01,5.37
394,Курчатов,4.09,5.01,5.37
395,Алейск,4.08,5.0,5.36
396,Новый Оскол,4.1,5.0,5.36
397,Боготол,4.03,5.0,5.36
398,Алексеевка,4.09,5.0,5.36
399,Дмитровск,4.07,5.0,5.36
400,Невельск,4.32,5.0,5.36
401,Кропоткин,4.07,5.0,5.36
402,Гулькевичи,4.07,5.0,5.36
403,Печоры,4.14,4.99,5.35
404,Славянск-на-Кубани,4.08,4.99,5.35
405,Павловск,4.07,4.99,5.35
406,Салехард,4.14,4.99,5.35
407,Карачев,4.08,4.99,5.35
408,Богучар,4.07,4.99,5.35
409,Острогожск,4.08,4.99,5.35
410,Донецк,4.09,4.99,5.35
411,Каменск-Шахтинский,4.09,4.99,5.35
412,Кукмор,4.07,4.98,5.34
413,Мелеуз,4.08,4.98,5.34
414,Кумертау,4.08,4.98,5.34
415,Льгов,4.05,4.98,5.34
416,Черняховск,4.07,4.98,5.34
417,Навашино,4.05,4.98,5.34
418,Кулебаки,4.05,4.98,5.34
419,Лиски,4.07,4.98,5.34
420,Агидель,4.06,4.98,5.34
421,Далматово,4.02,4.98,5.33
422,Россошь,4.07,4.97,5.33
423,Бирюч,4.06,4.97,5.33
424,Кизляр,4.17,4.97,5.33
425,Суджа,4.04,4.97,5.33
426,Грайворон,4.04,4.97,5.33
427,Белгород,4.05,4.97,5.33
428,Шебекино,4.05,4.97,5.33
429,Рузаевка,4.05,4.97,5.32
430,Саранск,4.05,4.97,5.32
431,Краснослободск,4.03,4.97,5.32
432,Валуйки,4.05,4.96,5.32
433,Стародуб,4.04,4.96,5.31
434,Магнитогорск,4.02,4.95,5.31
435,Рыльск,4.02,4.95,5.31
436,Нурлат,4.03,4.95,5.3
437,Нефтекамск,4.03,4.95,5.3
438,Сибай,4.0,4.95,5.3
439,Юрга,4.03,4.94,5.3
440,Юрьев-Польский,4.01,4.94,5.29
441,Кольчугино,4.01,4.94,5.29
442,Тимашевск,4.03,4.94,5.29
443,Кореновск,4.02,4.93,5.29
444,Моршанск,4.01,4.93,5.28
445,Солнечногорск,3.98,4.93,5.28
446,Истра,3.98,4.93,5.28
447,Дедовск,3.98,4.93,5.28
448,Краснокаменск,4.02,4.93,5.28
449,Лукоянов,3.99,4.93,5.28
450,Злынка,4.01,4.93,5.28
451,Новозыбков,4.01,4.93,5.28
