,city,10,20,30
440,Грайворон,4.4,5.15,5.64
441,Лосино-Петровский,4.4,5.17,5.68
442,Черноголовка,4.4,5.17,5.68
443,Пушкино,4.4,5.17,5.68
444,Королев,4.4,5.17,5.68
445,Ивантеевка,4.4,5.17,5.68
446,Армавир,4.4,5.13,5.6
447,Суджа,4.4,5.14,5.64
448,Новокубанск,4.4,5.13,5.6
449,Балашиха,4.4,5.17,5.68
450,Лабытнанги,4.4,5.09,5.54
451,Бор,4.39,5.15,5.66
452,Валуйки,4.39,5.13,5.62
453,Карачев,4.39,5.14,5.64
454,Нурлат,4.39,5.15,5.65
455,Благодарный,4.38,5.07,5.52
456,Пласт,4.38,5.16,5.68
457,Гороховец,4.38,5.15,5.66
458,Сурск,4.38,5.13,5.64
459,Рыльск,4.38,5.12,5.61
460,Агидель,4.38,5.13,5.63
461,Стерлитамак,4.36,5.1,5.58
462,Стародуб,4.36,5.12,5.62
463,Краснослободск,4.36,5.12,5.63
464,Салават,4.36,5.1,5.58
465,Нефтекамск,4.35,5.1,5.6
466,Моршанск,4.35,5.11,5.61
467,Навашино,4.35,5.12,5.63
468,Кулебаки,4.35,5.12,5.63
469,Севск,4.34,5.09,5.58
470,Ужур,4.34,5.1,5.61
471,Усинск,4.34,5.04,5.51
472,Борзя,4.33,5.03,5.49
473,Новозыбков,4.33,5.08,5.58
474,Злынка,4.33,5.08,5.58
475,Кольчугино,4.33,5.09,5.6
476,Лукоянов,4.33,5.09,5.6
477,Юрьев-Польский,4.33,5.09,5.6
478,Зеленодольск,4.3,5.05,5.54
479,Солнечногорск,4.3,5.06,5.57
480,Иннополис,4.3,5.05,5.54
481,Истра,4.3,5.06,5.57
482,Дедовск,4.3,5.06,5.57
483,Городище,4.29,5.04,5.54
484,Змеиногорск,4.29,5.02,5.5
485,Далматово,4.28,5.07,5.6
486,Волоколамск,4.28,5.04,5.54
487,Жиздра,4.27,5.03,5.53
488,Джанкой,4.27,4.98,5.44
489,Заволжье,4.27,5.03,5.54
490,Менделеевск,4.27,5.02,5.51
491,Брянск,4.26,5.0,5.49
492,Рославль,4.26,5.03,5.53
493,Десногорск,4.26,5.03,5.53
494,Унеча,4.25,5.0,5.49
495,Сураж,4.25,5.0,5.49
496,Клинцы,4.25,5.0,5.49
497,Янаул,4.24,4.98,5.48
498,Барнаул,4.24,4.96,5.44
499,Новоалтайск,4.24,4.96,5.44
500,Шацк,4.24,5.01,5.52
501,Верхнеуральск,4.23,4.98,5.48
502,Александров,4.23,4.98,5.48
503,Карабаново,4.23,4.98,5.48
504,Струнино,4.23,4.98,5.48
505,Переславль-Залесский,4.23,4.98,5.48
506,Абинск,4.22,4.96,5.44
507,Крымск,4.22,4.96,5.44
508,Сельцо,4.21,4.96,5.46
509,Медынь,4.21,4.97,5.48
510,Анива,4.21,4.88,5.32
511,Дятьково,4.21,4.96,5.46
512,Корсаков,4.21,4.88,5.32
513,Кондрово,4.21,4.97,5.48
514,Талица,4.2,5.0,5.54
515,Певек,4.19,4.7,5.03
516,Тогучин,4.19,4.97,5.49
517,Ардатов,4.19,4.95,5.45
518,Курганинск,4.19,4.91,5.39
519,Белогорск,4.18,4.79,5.18
520,Чита,4.18,4.88,5.34
521,Остров,4.18,4.93,5.43
522,Чебаркуль,4.18,4.96,5.48
523,Симферополь,4.18,4.79,5.18
524,Ядрин,4.17,4.92,5.43
525,Гусев,4.17,4.94,5.46
526,Нестеров,4.17,4.94,5.46
527,Людиново,4.16,4.93,5.44
528,Заринск,4.16,4.89,5.37
529,Суздаль,4.16,4.93,5.43
530,Муравленко,4.13,4.85,5.33
531,Краснодар,4.12,4.83,5.3
532,Почеп,4.12,4.86,5.36
533,Топки,4.11,4.84,5.33
534,Буденновск,4.11,4.78,5.22
535,Пучеж,4.1,4.82,5.3
536,Назарово,4.1,4.86,5.36
537,Чкаловск,4.1,4.82,5.3
538,Сасово,4.09,4.85,5.36
539,Пыталово,4.09,4.84,5.34
540,Геленджик,4.08,4.6,4.94
541,Шумерля,4.07,4.84,5.35
542,Тайга,4.06,4.81,5.31
543,Мглин,4.05,4.8,5.3
544,Владивосток,4.05,4.6,4.96
545,Волжск,4.03,4.78,5.28
546,Нолинск,4.03,4.78,5.28
547,Звенигово,4.03,4.78,5.28
548,Козловка,4.03,4.78,5.28
549,Высоцк,4.02,4.67,5.11
550,Выборг,4.02,4.67,5.11
551,Белореченск,4.02,4.74,5.23
552,Усть-Лабинск,4.02,4.74,5.23
553,Гудермес,4.02,4.61,5.0
554,Приморск,4.02,4.67,5.11
555,Темников,3.99,4.75,5.25
556,Сысерть,3.98,4.76,5.28
557,Арамиль,3.98,4.76,5.28
558,Агрыз,3.97,4.71,5.21
559,Ачинск,3.97,4.7,5.19
560,Полысаево,3.96,4.67,5.14
561,Нефтекумск,3.96,4.63,5.08
562,Гурьевск,3.96,4.67,5.14
563,Ленинск-Кузнецкий,3.96,4.67,5.14
564,Белово,3.96,4.67,5.14
565,Трубчевск,3.95,4.71,5.22
566,Тобольск,3.95,4.69,5.19
567,Тавда,3.95,4.72,5.24
568,Невинномысск,3.94,4.57,4.98
569,Питкяранта,3.91,4.53,4.94
570,Петропавловск-Камчатский,3.9,4.45,4.81
571,Заполярный,3.88,4.58,5.04
572,Сосновый Бор,3.87,4.54,4.98
573,Бирск,3.86,4.62,5.13
574,Зеленокумск,3.86,4.49,4.91
575,Первомайск,3.86,4.64,5.16
576,Ивангород,3.86,4.49,4.91
577,Миасс,3.85,4.61,5.12
578,Баймак,3.85,4.58,5.08
